# Метеостанция Нижний Новгород / им. В. П. Чкалова (аэропорт), Россия, METAR=UWGG, выборка с 01.05.2020 по 01.06.2020, все дни
# Кодировка: UTF-8
# Информация предоставлена сайтом "Расписание Погоды", rp5.ru
# Пожалуйста, при использовании данных, любезно указывайте названный сайт.
# Обозначения метеопараметров см. по адресу http://rp5.ru/metar.php?metar=UWGG&lang=ru
#
"Местное время в Нижнем Новгороде / им. В. П. Чкалова (аэропорт)";"T";"P0";"P";"U";"DD";"Ff";"ff10";"WW";"W'W'";"c";"VV";"Td";
"19.05.2020 03:30";"5.0";"743.6";"750.8";"93";"Ветер, дующий с запада";"4";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 300 м";"10.0 и более";"4.0";
"19.05.2020 03:00";"6.0";"743.7";"750.8";"93";"Ветер, дующий с запада";"4";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 300 м";"10.0 и более";"5.0";
"19.05.2020 02:00";"7.0";"743.0";"750.1";"93";"Ветер, дующий с западо-юго-запада";"4";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 300 м";"10.0 и более";"6.0";
"19.05.2020 01:30";"7.0";"743.0";"750.1";"93";"Ветер, дующий с запада";"4";"";"Слабый(ая)(ые) дождь";"";"Сплошная (100%) 300 м";"7.0";"6.0";
"19.05.2020 01:00";"8.0";"743.0";"750.1";"93";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Разорванная (60-90%) 360 м";"9.0";"7.0";
"19.05.2020 00:30";"8.0";"743.0";"750.1";"93";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Разорванная (60-90%) 300 м";"10.0 и более";"7.0";
"19.05.2020 00:00";"8.0";"743.0";"750.1";"93";"Ветер, дующий с юго-запада";"4";"";"";"";"Разорванная (60-90%) 360 м";"10.0 и более";"7.0";
"18.05.2020 23:30";"9.0";"743.0";"750.1";"87";"Ветер, дующий с юго-запада";"4";"";"";"";"Рассеянная (40-50%) 600 м, кучево-дождевые облака";"10.0 и более";"7.0";
"18.05.2020 23:00";"9.0";"743.0";"750.1";"87";"Ветер, дующий с западо-юго-запада";"3";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Рассеянная (40-50%) 600 м, кучево-дождевые облака";"10.0 и более";"7.0";
"18.05.2020 22:30";"10.0";"743.1";"750.1";"82";"Ветер, дующий с юго-запада";"6";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Рассеянная (40-50%) 600 м, кучево-дождевые облака";"10.0 и более";"7.0";
"18.05.2020 22:00";"10.0";"743.1";"750.1";"82";"Ветер, дующий с юга";"3";"";"";"";"Рассеянная (40-50%) 690 м";"10.0 и более";"7.0";
"18.05.2020 21:30";"9.0";"743.0";"750.1";"87";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Рассеянная (40-50%) 690 м";"10.0 и более";"7.0";
"18.05.2020 21:00";"10.0";"743.8";"750.8";"76";"Ветер, дующий с юго-юго-востока";"3";"";"";"";"Рассеянная (40-50%) 690 м";"10.0 и более";"6.0";
"18.05.2020 20:30";"10.0";"743.8";"750.8";"76";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Рассеянная (40-50%) 690 м";"10.0 и более";"6.0";
"18.05.2020 20:00";"10.0";"743.8";"750.8";"76";"Ветер, дующий с юга";"2";"";"";"";"Рассеянная (40-50%) 690 м";"10.0 и более";"6.0";
"18.05.2020 19:30";"11.0";"744.6";"751.6";"77";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Рассеянная (40-50%) 690 м";"10.0 и более";"7.0";
"18.05.2020 19:00";"12.0";"744.6";"751.6";"72";"Ветер, дующий с юго-юго-востока";"2";"";"";"";"Рассеянная (40-50%) 690 м";"10.0 и более";"7.0";
"18.05.2020 18:30";"12.0";"744.6";"751.6";"77";"Ветер, дующий с юго-востока";"2";"";"";"";"Рассеянная (40-50%) 690 м";"10.0 и более";"8.0";
"18.05.2020 18:00";"11.0";"745.3";"752.3";"82";"Ветер, дующий с юго-востока";"2";"";"";"";"Рассеянная (40-50%) 690 м";"10.0 и более";"8.0";
"18.05.2020 17:30";"11.0";"745.3";"752.3";"82";"Переменное направление";"1";"";"";"";"Рассеянная (40-50%) 690 м";"10.0 и более";"8.0";
"18.05.2020 17:00";"10.0";"745.3";"752.3";"88";"Ветер, дующий с севера";"2";"";"";"";"Рассеянная (40-50%) 690 м, кучево-дождевые облака";"10.0 и более";"8.0";
"18.05.2020 16:30";"9.0";"745.2";"752.3";"87";"Ветер, дующий с северо-северо-запада";"3";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 390 м, кучево-дождевые облака";"9.0";"7.0";
"18.05.2020 16:00";"14.0";"745.4";"752.3";"59";"Ветер, дующий с запада";"4";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"6.0";
"18.05.2020 15:30";"14.0";"745.4";"752.3";"59";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Рассеянная (40-50%) 990 м, кучево-дождевые облака";"10.0 и более";"6.0";
"18.05.2020 15:00";"14.0";"745.4";"752.3";"67";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"8.0";
"18.05.2020 14:30";"12.0";"745.3";"752.3";"82";"Ветер, дующий с запада";"2";"";"";"";"Рассеянная (40-50%) 990 м, кучево-дождевые облака";"10.0 и более";"9.0";
"18.05.2020 14:00";"10.0";"746.0";"753.1";"82";"Ветер, дующий с запада";"8";"15";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 300 м, кучево-дождевые облака";"9.0";"7.0";
"18.05.2020 13:30";"15.0";"745.4";"752.3";"51";"Ветер, дующий с юго-запада";"5";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"5.0";
"18.05.2020 13:00";"14.0";"745.4";"752.3";"55";"Ветер, дующий с юго-юго-запада";"7";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"5.0";
"18.05.2020 12:30";"15.0";"746.2";"753.1";"51";"Ветер, дующий с юга";"7";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"5.0";
"18.05.2020 12:00";"15.0";"746.2";"753.1";"59";"Ветер, дующий с юго-запада";"6";"";"";"";"Рассеянная (40-50%) 780 м, кучево-дождевые облака";"10.0 и более";"7.0";
"18.05.2020 11:30";"12.0";"746.9";"753.9";"72";"Ветер, дующий с юго-запада";"4";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 360 м, кучево-дождевые облака";"10.0 и более";"7.0";
"18.05.2020 11:00";"15.0";"746.2";"753.1";"48";"Ветер, дующий с юго-запада";"7";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"4.0";
"18.05.2020 10:30";"15.0";"747.0";"753.9";"51";"Ветер, дующий с юго-запада";"6";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"5.0";
"18.05.2020 10:00";"14.0";"746.9";"753.9";"51";"Ветер, дующий с западо-юго-запада";"6";"11";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"4.0";
"18.05.2020 09:30";"15.0";"747.0";"753.9";"51";"Ветер, дующий с юго-юго-запада";"7";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"5.0";
"18.05.2020 09:00";"13.0";"746.9";"753.9";"59";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"5.0";
"18.05.2020 08:30";"13.0";"747.6";"754.6";"55";"Ветер, дующий с юго-запада";"8";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"18.05.2020 08:00";"13.0";"747.6";"754.6";"55";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"18.05.2020 07:30";"12.0";"747.6";"754.6";"58";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"18.05.2020 07:00";"11.0";"747.6";"754.6";"62";"Ветер, дующий с юго-юго-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"18.05.2020 06:30";"10.0";"748.3";"755.4";"71";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"18.05.2020 06:00";"9.0";"748.3";"755.4";"71";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"18.05.2020 05:30";"8.0";"748.3";"755.4";"82";"Ветер, дующий с юго-запада";"3";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"5.0";
"18.05.2020 05:00";"8.0";"748.3";"755.4";"82";"Ветер, дующий с юго-запада";"3";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"5.0";
"18.05.2020 04:30";"6.0";"748.2";"755.4";"93";"Ветер, дующий с юго-запада";"3";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"5.0";
"18.05.2020 04:00";"6.0";"748.2";"755.4";"93";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"5.0";
"18.05.2020 03:30";"6.0";"748.2";"755.4";"93";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"5.0";
"18.05.2020 03:00";"7.0";"748.2";"755.4";"87";"Ветер, дующий с юго-запада";"1";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"18.05.2020 02:30";"7.0";"748.2";"755.4";"87";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"18.05.2020 02:00";"9.0";"749.1";"756.2";"76";"Ветер, дующий с юга";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"18.05.2020 01:30";"7.0";"749.0";"756.2";"87";"Ветер, дующий с юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"18.05.2020 01:00";"7.0";"749.0";"756.2";"87";"Ветер, дующий с юго-юго-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"18.05.2020 00:30";"9.0";"749.1";"756.2";"76";"Ветер, дующий с юга";"2";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"5.0";
"18.05.2020 00:00";"9.0";"749.1";"756.2";"76";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"5.0";
"17.05.2020 23:30";"10.0";"749.1";"756.2";"71";"Ветер, дующий с юго-юго-запада";"3";"";"Слабый(ая)(ые) дождь";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"5.0";
"17.05.2020 23:00";"10.0";"749.8";"756.9";"71";"Ветер, дующий с юго-запада";"5";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"5.0";
"17.05.2020 22:30";"9.0";"749.8";"756.9";"76";"Ветер, дующий с юго-запада";"4";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"5.0";
"17.05.2020 22:00";"9.0";"749.8";"756.9";"76";"Ветер, дующий с юго-запада";"4";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"5.0";
"17.05.2020 21:30";"9.0";"749.8";"756.9";"76";"Ветер, дующий с юго-запада";"4";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"5.0";
"17.05.2020 21:00";"9.0";"749.8";"756.9";"76";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"5.0";
"17.05.2020 20:30";"10.0";"749.8";"756.9";"71";"Ветер, дующий с юго-запада";"3";"";"";"";"Рассеянная (40-50%) 900 м";"10.0 и более";"5.0";
"17.05.2020 20:00";"11.0";"749.8";"756.9";"67";"Ветер, дующий с юго-запада";"3";"";"";"";"Рассеянная (40-50%) 900 м";"10.0 и более";"5.0";
"17.05.2020 19:30";"12.0";"749.9";"756.9";"63";"Ветер, дующий с юго-запада";"4";"";"";"";"Рассеянная (40-50%) 900 м";"10.0 и более";"5.0";
"17.05.2020 19:00";"12.0";"749.9";"756.9";"63";"Ветер, дующий с юго-запада";"4";"";"";"";"Рассеянная (40-50%) 900 м";"10.0 и более";"5.0";
"17.05.2020 18:30";"12.0";"749.9";"756.9";"63";"Ветер, дующий с юго-запада";"5";"";"";"";"Рассеянная (40-50%) 900 м";"10.0 и более";"5.0";
"17.05.2020 18:00";"13.0";"749.9";"756.9";"51";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Рассеянная (40-50%) 900 м";"10.0 и более";"3.0";
"17.05.2020 17:30";"12.0";"749.9";"756.9";"58";"Ветер, дующий с юго-запада";"3";"";"";"";"Рассеянная (40-50%) 600 м";"10.0 и более";"4.0";
"17.05.2020 17:00";"12.0";"750.7";"757.7";"63";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"10.0 и более";"5.0";
"17.05.2020 16:30";"13.0";"750.7";"757.7";"59";"Ветер, дующий с западо-северо-запада";"4";"";"";"";"Разорванная (60-90%) 480 м, кучево-дождевые облака";"10.0 и более";"5.0";
"17.05.2020 16:00";"12.0";"749.9";"756.9";"63";"Ветер, дующий с западо-юго-запада";"8";"18";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 480 м, кучево-дождевые облака";"10.0 и более";"5.0";
"17.05.2020 15:30";"16.0";"749.3";"756.2";"39";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Разорванная (60-90%) 900 м, кучево-дождевые облака";"10.0 и более";"2.0";
"17.05.2020 15:00";"17.0";"749.3";"756.2";"37";"Ветер, дующий с юго-запада";"6";"11";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"2.0";
"17.05.2020 14:30";"17.0";"749.3";"756.2";"37";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"2.0";
"17.05.2020 14:00";"16.0";"749.3";"756.2";"39";"Ветер, дующий с западо-юго-запада";"7";"12";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"2.0";
"17.05.2020 13:30";"16.0";"750.0";"756.9";"39";"Ветер, дующий с юго-запада";"7";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"2.0";
"17.05.2020 13:00";"15.0";"749.9";"756.9";"39";"Ветер, дующий с западо-юго-запада";"8";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"1.0";
"17.05.2020 12:30";"15.0";"749.9";"756.9";"36";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"0.0";
"17.05.2020 12:00";"16.0";"750.0";"756.9";"39";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"2.0";
"17.05.2020 11:30";"15.0";"749.9";"756.9";"39";"Ветер, дующий с западо-юго-запада";"7";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"1.0";
"17.05.2020 11:00";"16.0";"750.0";"756.9";"42";"Ветер, дующий с западо-юго-запада";"6";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"3.0";
"17.05.2020 10:30";"15.0";"749.9";"756.9";"48";"Ветер, дующий с юго-запада";"8";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"4.0";
"17.05.2020 10:00";"15.0";"749.9";"756.9";"51";"Ветер, дующий с юго-юго-запада";"6";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"5.0";
"17.05.2020 09:30";"14.0";"749.9";"756.9";"51";"Ветер, дующий с юго-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"17.05.2020 09:00";"14.0";"749.9";"756.9";"55";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"17.05.2020 08:30";"12.0";"749.9";"756.9";"58";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"17.05.2020 08:00";"12.0";"750.7";"757.7";"63";"Ветер, дующий с юго-запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"5.0";
"17.05.2020 07:30";"11.0";"750.6";"757.7";"62";"Ветер, дующий с юго-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"17.05.2020 07:00";"10.0";"750.6";"757.7";"67";"Ветер, дующий с юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"4.0";
"17.05.2020 06:30";"9.0";"750.6";"757.7";"71";"Ветер, дующий с юга";"4";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"4.0";
"17.05.2020 06:00";"8.0";"750.6";"757.7";"76";"Ветер, дующий с юга";"4";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"4.0";
"17.05.2020 05:30";"8.0";"750.6";"757.7";"76";"Ветер, дующий с юга";"3";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"4.0";
"17.05.2020 05:00";"7.0";"750.5";"757.7";"81";"Ветер, дующий с юга";"4";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"4.0";
"17.05.2020 04:30";"7.0";"750.5";"757.7";"81";"Ветер, дующий с юга";"3";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"4.0";
"17.05.2020 04:00";"6.0";"750.5";"757.7";"81";"Ветер, дующий с юга";"3";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"3.0";
"17.05.2020 03:30";"5.0";"750.5";"757.7";"87";"Ветер, дующий с юга";"4";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"3.0";
"17.05.2020 03:00";"5.0";"750.5";"757.7";"87";"Ветер, дующий с юга";"4";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"3.0";
"17.05.2020 02:30";"5.0";"750.5";"757.7";"87";"Ветер, дующий с юга";"3";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"3.0";
"17.05.2020 02:00";"6.0";"750.5";"757.7";"81";"Ветер, дующий с юга";"3";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"3.0";
"17.05.2020 01:30";"6.0";"750.5";"757.7";"81";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"3.0";
"17.05.2020 01:00";"6.0";"750.5";"757.7";"81";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"3.0";
"17.05.2020 00:30";"8.0";"750.6";"757.7";"76";"Ветер, дующий с юго-запада";"3";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"4.0";
"17.05.2020 00:00";"6.0";"750.5";"757.7";"87";"Ветер, дующий с юго-запада";"3";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"4.0";
"16.05.2020 23:30";"6.0";"750.5";"757.7";"81";"Ветер, дующий с юго-запада";"3";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"3.0";
"16.05.2020 23:00";"6.0";"750.5";"757.7";"81";"Ветер, дующий с юго-запада";"3";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"3.0";
"16.05.2020 22:30";"8.0";"750.6";"757.7";"76";"Ветер, дующий с юго-запада";"3";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"4.0";
"16.05.2020 22:00";"9.0";"750.6";"757.7";"71";"Ветер, дующий с юго-запада";"3";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"4.0";
"16.05.2020 21:30";"8.0";"750.6";"757.7";"71";"Ветер, дующий с юго-запада";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"3.0";
"16.05.2020 21:00";"8.0";"750.6";"757.7";"71";"Ветер, дующий с юго-запада";"2";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"3.0";
"16.05.2020 20:30";"9.0";"749.8";"756.9";"66";"Ветер, дующий с юго-запада";"3";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"3.0";
"16.05.2020 20:00";"10.0";"749.8";"756.9";"62";"Ветер, дующий с юго-запада";"3";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"3.0";
"16.05.2020 19:30";"11.0";"749.8";"756.9";"58";"Ветер, дующий с юго-запада";"4";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"3.0";
"16.05.2020 19:00";"12.0";"749.9";"756.9";"54";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"3.0";
"16.05.2020 18:30";"12.0";"749.9";"756.9";"54";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"3.0";
"16.05.2020 18:00";"12.0";"749.9";"756.9";"51";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"2.0";
"16.05.2020 17:30";"12.0";"749.9";"756.9";"51";"Ветер, дующий с юго-запада";"6";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"2.0";
"16.05.2020 17:00";"12.0";"749.9";"756.9";"51";"Ветер, дующий с юго-запада";"5";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"2.0";
"16.05.2020 16:30";"11.0";"749.8";"756.9";"54";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Разорванная (60-90%) 900 м, кучево-дождевые облака";"10.0 и более";"2.0";
"16.05.2020 16:00";"12.0";"749.9";"756.9";"58";"Ветер, дующий с юго-запада";"9";"";"Слабый(ая)(ые) ливень (ливни), дождь";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"10.0 и более";"4.0";
"16.05.2020 15:30";"14.0";"749.2";"756.2";"39";"Ветер, дующий с юго-юго-запада";"4";"";"";"";"Разорванная (60-90%) 990 м, кучево-дождевые облака";"10.0 и более";"0.0";
"16.05.2020 15:00";"14.0";"749.2";"756.2";"39";"Ветер, дующий с юго-запада";"2";"";"";"";"Рассеянная (40-50%) 990 м";"10.0 и более";"0.0";
"16.05.2020 14:30";"14.0";"749.2";"756.2";"41";"Ветер, дующий с запада";"4";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"1.0";
"16.05.2020 14:00";"14.0";"749.9";"756.9";"41";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Незначительная (10-30%) 1200 м";"10.0 и более";"1.0";
"16.05.2020 13:30";"13.0";"749.9";"756.9";"47";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"2.0";
"16.05.2020 13:00";"12.0";"749.9";"756.9";"47";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"1.0";
"16.05.2020 12:30";"12.0";"750.7";"757.7";"47";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"1.0";
"16.05.2020 12:00";"12.0";"750.7";"757.7";"44";"Ветер, дующий с западо-юго-запада";"5";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"0.0";
"16.05.2020 11:30";"12.0";"750.7";"757.7";"47";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"1.0";
"16.05.2020 11:00";"12.0";"749.9";"756.9";"44";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Разорванная (60-90%) 1200 м";"10.0 и более";"0.0";
"16.05.2020 10:30";"12.0";"749.9";"756.9";"44";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"0.0";
"16.05.2020 10:00";"11.0";"749.8";"756.9";"50";"Ветер, дующий с западо-юго-запада";"4";"";"";"";"Рассеянная (40-50%) 1200 м";"10.0 и более";"1.0";
"16.05.2020 09:30";"11.0";"749.8";"756.9";"54";"Ветер, дующий с запада";"4";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"2.0";
"16.05.2020 09:00";"10.0";"750.6";"757.7";"54";"Ветер, дующий с западо-северо-запада";"3";"";"";"";"Незначительная (10-30%) 990 м";"10.0 и более";"1.0";
"16.05.2020 08:30";"10.0";"750.6";"757.7";"58";"Ветер, дующий с запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"2.0";
"16.05.2020 08:00";"9.0";"750.6";"757.7";"62";"Ветер, дующий с западо-юго-запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"2.0";
"16.05.2020 07:30";"8.0";"750.6";"757.7";"71";"Ветер, дующий с запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"3.0";
"16.05.2020 07:00";"7.0";"750.5";"757.7";"76";"Ветер, дующий с запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"3.0";
"16.05.2020 06:30";"6.0";"750.5";"757.7";"76";"Ветер, дующий с запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"2.0";
"16.05.2020 06:00";"4.0";"750.5";"757.7";"87";"Ветер, дующий с запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"2.0";
"16.05.2020 05:30";"4.0";"749.7";"756.9";"87";"Ветер, дующий с запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"2.0";
"16.05.2020 05:00";"3.0";"749.6";"756.9";"87";"Ветер, дующий с западо-северо-запада";"2";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"16.05.2020 04:30";"2.0";"749.6";"756.9";"93";"Ветер, дующий с запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"16.05.2020 04:00";"2.0";"749.6";"756.9";"93";"Ветер, дующий с запада";"3";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"16.05.2020 03:30";"2.0";"749.6";"756.9";"93";"Ветер, дующий с запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"16.05.2020 03:00";"3.0";"749.6";"756.9";"87";"Ветер, дующий с запада";"4";"";"";"";"Нет существенной облачности";"10.0 и более";"1.0";
"16.05.2020 02:00";"3.0";"748.9";"756.2";"87";"Ветер, дующий с запада";"3";"";"";"";"Рассеянная (40-50%) 600 м";"10.0 и более";"1.0";
"16.05.2020 01:30";"3.0";"748.9";"756.2";"93";"Ветер, дующий с запада";"3";"";"";"";"Рассеянная (40-50%) 600 м";"10.0 и более";"2.0";
"16.05.2020 01:00";"4.0";"749.0";"756.2";"87";"Ветер, дующий с запада";"3";"";"";"";"Рассеянная (40-50%) 600 м";"10.0 и более";"2.0";
"16.05.2020 00:30";"3.0";"748.9";"756.2";"100";"Ветер, дующий с запада";"2";"";"";"";"Рассеянная (40-50%) 600 м";"10.0 и более";"3.0";
"16.05.2020 00:00";"4.0";"749.0";"756.2";"93";"Ветер, дующий с юго-запада";"2";"";"";"";"Рассеянная (40-50%) 600 м";"10.0 и более";"3.0";
"15.05.2020 23:30";"4.0";"749.0";"756.2";"93";"Ветер, дующий с запада";"3";"";"";"";"Рассеянная (40-50%) 600 м";"10.0 и более";"3.0";
"15.05.2020 23:00";"4.0";"748.2";"755.4";"93";"Ветер, дующий с западо-юго-запада";"2";"";"";"";"Рассеянная (40-50%) 600 м";"10.0 и более";"3.0";
"15.05.2020 22:30";"4.0";"748.2";"755.4";"93";"Ветер, дующий с северо-северо-запада";"2";"";"";"";"Разорванная (60-90%) 600 м, кучево-дождевые облака";"10.0 и более";"3.0";
